HDAC6_measured;WPATH;WPOL;MLogP;nAromRings;nRings5;nRings6;SC-5;VC-3;VC-5;HybRatio;nAromBond;nAtomLAC;MDEC-11;MDEC-12;MDEC-22;MDEC-33;MDEO-11;MDEO-12;MDEO-22;MDEN-22;MDEN-23;MDEN-33;ALogP;Wlambda1.unity;Wlambda2.unity;Wnu1.unity;Wnu2.unity;Weta1.unity;Weta2.unity;Weta3.unity;WA.unity;WK.unity;WD.unity;khs.ssCH2;khs.dsCH;khs.aaCH;khs.aasC;khs.ssNH;khs.aaN;khs.sssN;khs.ssO;khs.sF;khs.sCl;nHBDon;BCUTw-1l;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;PetitjeanNumber;geomShape;bpol;XLogP;LipinskiFailures;WTPT-2;WTPT-3;WTPT-4;nRotB;MOMI-Z;MOMI-XY;MOMI-XZ;MOMI-R;FMF;ATSc1;ATSc2;ATSc3;ATSc4;ATSc5;PPSA-2;PNSA-1;DPSA-1;DPSA-3;FPSA-1;RPCS;RNCS;THSA;TPSA;RHSA;LOBMAX;SCH-7;VCH-5;VCH-6;C1SP2;C2SP2;C1SP3;C2SP3;SPC-6;VPC-5;tpsaEfficiency;nAtomP
1;1640.0;39.0;2.67;3.0;0.0;3.0;0.298;0.613;0.0953;0.167;17.0;2.0;0.2;3.5;8.97;5.56;0.333;0.577;0.0;0.483;0.75;0.0;2.37;2.65;3.34;0.125;0.158;0.344;0.464;0.459;99.6;0.288;1.27;1.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.336;0.249;3.82;10.8;0.5;0.758;26.5;2.55;0.0;2.03;20.1;7.9;6.0;1260.0;1.02;4.84;8.15;0.395;0.544;-0.252;-0.0843;0.0186;0.0637;817.0;219.0;170.0;65.0;0.64;0.848;1.53;465.0;143.0;0.764;1.33;0.38;0.0;0.0681;3.0;11.0;2.0;0.0;8.08;1.55;0.259;18.0
0;1490.0;37.0;2.56;3.0;0.0;3.0;0.298;0.513;0.0953;0.118;17.0;2.0;0.0;2.3;10.7;4.01;0.333;0.577;0.0;0.483;0.75;0.0;2.38;1.69;3.2;0.0832;0.158;0.239;0.452;0.479;80.6;0.319;1.17;1.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.336;0.249;3.82;10.5;0.5;0.758;24.3;2.24;0.0;2.04;20.2;7.9;6.0;1040.0;1.05;5.63;7.92;0.425;0.552;-0.285;-0.0418;-0.00362;0.0825;740.0;222.0;130.0;69.8;0.613;0.847;1.53;419.0;156.0;0.728;1.46;0.35;0.0;0.07;2.0;11.0;1.0;0.0;6.94;1.4;0.27;18.0
0;2420.0;46.0;2.89;3.0;0.0;3.0;0.382;0.663;0.109;0.286;17.0;4.0;0.426;5.12;9.76;7.19;0.333;0.587;0.333;0.455;0.721;0.0;2.71;2.32;4.48;0.0869;0.168;0.233;0.268;0.457;145.0;0.309;0.958;3.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.9;0.467;0.924;35.0;2.71;0.0;2.02;22.9;10.7;9.0;1850.0;1.08;5.08;9.19;0.321;0.669;-0.342;-0.00202;0.0282;-0.0828;1200.0;210.0;285.0;71.7;0.702;2.97;2.35;552.0;153.0;0.783;1.68;0.409;0.0;0.0643;3.0;11.0;2.0;2.0;9.33;1.81;0.244;19.0
0;2580.0;41.0;3.0;3.0;0.0;3.0;0.298;0.513;0.0953;0.286;17.0;6.0;0.0;2.58;17.8;3.4;0.333;0.267;0.0;0.392;0.655;0.0;3.65;1.43;3.33;0.042;0.0978;0.219;0.417;0.549;144.0;0.395;1.18;5.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.5;0.5;0.882;33.1;3.47;0.0;2.04;20.2;7.92;10.0;1370.0;1.05;9.16;9.87;0.327;0.52;-0.292;0.0743;-0.0979;0.0778;1070.0;221.0;257.0;72.4;0.683;3.17;1.92;547.0;152.0;0.782;2.06;0.35;0.0;0.07;2.0;11.0;1.0;4.0;6.86;1.44;0.23;18.0
0;3070.0;48.0;3.11;3.0;0.0;3.0;0.382;0.663;0.109;0.348;17.0;6.0;0.426;5.62;13.2;6.8;0.333;0.452;0.333;0.411;0.674;0.0;3.63;2.14;4.56;0.0639;0.137;0.218;0.268;0.471;189.0;0.35;0.957;5.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.87;10.9;0.471;0.906;39.4;3.43;0.0;2.02;23.0;10.7;11.0;2080.0;1.07;6.36;10.2;0.288;0.668;-0.346;-0.0188;0.0309;0.0486;1410.0;212.0;346.0;73.7;0.725;2.83;2.32;617.0;153.0;0.801;1.89;0.409;0.0;0.0643;3.0;11.0;2.0;4.0;9.33;1.81;0.228;19.0
0;2790.0;43.0;3.11;3.0;0.0;3.0;0.298;0.613;0.0953;0.318;17.0;6.0;0.2;4.02;15.8;4.87;0.333;0.267;0.0;0.392;0.655;0.0;3.64;2.25;3.47;0.0645;0.0992;0.243;0.444;0.533;175.0;0.377;1.22;5.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.8;0.5;0.882;35.3;3.78;0.0;2.03;20.1;7.92;10.0;1610.0;1.03;8.05;10.1;0.309;0.511;-0.259;0.0318;-0.0757;0.059;1150.0;218.0;297.0;67.5;0.703;3.17;1.93;593.0;139.0;0.81;1.86;0.38;0.0;0.0681;3.0;11.0;2.0;4.0;7.99;1.59;0.222;18.0
0;1980.0;39.0;2.78;3.0;0.0;3.0;0.298;0.513;0.0953;0.211;17.0;4.0;0.0;2.47;14.0;3.65;0.333;0.365;0.0;0.432;0.696;0.0;2.73;1.54;3.3;0.058;0.124;0.227;0.433;0.522;110.0;0.364;1.18;3.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.85;10.5;0.5;0.797;28.7;2.75;0.0;2.04;20.2;7.92;8.0;1220.0;1.05;7.16;8.9;0.37;0.521;-0.288;0.091;-0.101;-0.0569;891.0;220.0;197.0;70.7;0.655;3.33;2.02;485.0;152.0;0.761;1.76;0.35;0.0;0.07;2.0;11.0;1.0;2.0;6.86;1.44;0.249;18.0
0;2270.0;40.0;2.89;3.0;0.0;3.0;0.298;0.513;0.0953;0.25;17.0;5.0;0.0;2.53;15.9;3.52;0.333;0.309;0.0;0.411;0.674;0.0;3.19;1.48;3.37;0.0492;0.112;0.223;0.428;0.542;128.0;0.379;1.19;4.0;0.0;9.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.5;0.471;0.811;30.9;3.11;0.0;2.04;20.2;7.92;9.0;1430.0;1.07;7.14;9.43;0.347;0.52;-0.292;0.0784;-0.0853;0.062;977.0;220.0;227.0;71.2;0.671;3.26;1.97;515.0;151.0;0.773;1.93;0.35;0.0;0.07;2.0;11.0;1.0;3.0;6.86;1.44;0.239;18.0
0;2460.0;42.0;3.0;3.0;0.0;3.0;0.298;0.613;0.0953;0.286;17.0;5.0;0.2;3.92;14.0;5.0;0.333;0.309;0.0;0.411;0.674;0.0;3.19;2.35;3.5;0.0757;0.113;0.255;0.448;0.525;155.0;0.358;1.23;4.0;0.0;8.0;4.0;1.0;2.0;1.0;1.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.8;0.471;0.76;33.1;3.42;0.0;2.03;20.1;7.92;9.0;1670.0;1.05;6.31;9.63;0.327;0.511;-0.259;0.0359;-0.0631;0.0432;1060.0;216.0;268.0;66.4;0.691;3.27;1.97;561.0;139.0;0.802;1.75;0.38;0.0;0.0681;3.0;11.0;2.0;3.0;7.99;1.59;0.23;18.0
0;2730.0;47.0;3.0;3.0;0.0;3.0;0.382;0.663;0.109;0.318;17.0;5.0;0.426;5.39;11.4;6.98;0.333;0.51;0.333;0.432;0.696;0.0;3.17;2.22;4.6;0.0746;0.154;0.225;0.268;0.467;167.0;0.328;0.959;4.0;0.0;7.0;5.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;12.0;-0.346;0.223;3.86;10.9;0.5;0.809;37.2;3.07;0.0;2.02;23.0;10.7;10.0;2160.0;1.1;5.04;9.7;0.304;0.668;-0.346;-0.0147;0.0435;0.0332;1300.0;213.0;316.0;73.2;0.713;2.9;2.37;587.0;154.0;0.792;1.78;0.409;0.0;0.0643;3.0;11.0;2.0;3.0;9.33;1.81;0.236;19.0
